Unit Name ,Fuel Type ,Month Unit in Service ,Year Unit in Service ,Dispatching ISO ,Dispatching ISO Zonal Location,Operating Capacity (Owner - GSC) (MW),Summer Capacity (Owner - GSC) (MW),Winter Capacity (Owner - GSC) (MW),Non-Fuel Variable O&M Costs per MWh (Owner) ($/MWh),Fuel Costs per MWh (Owner) ($/MWh),Variable Costs ($/MWh),Fixed O&M Costs per kW-Year (Owner) ($/kW-year)
1515 S Caron Road CT GT1,Gas,5,2000,PJM,COMED,3.5,3,3.5,86.674227,37.629648,124.303875,14.967474
491 E. 48th Street CT 7,Gas,5,1992,MISO,Z7,39,32,39,4.679199,32.847471,37.52667,4.133887
491 E. 48th Street CT 8,Gas,5,1992,MISO,Z7,39,32,39,4.679199,33.084119,37.763318,4.133887
491 E. 48th Street CT 9,Gas,4,2000,MISO,Z7,83.5,72,83.5,4.679199,33.344568,38.023767,4.133887
500MW CC CC CA01,Gas,12,2005,New York,Zone J (NYC),184.3,172.3,184.3,1.313564,20.652765,21.966329,10.812048
500MW CC CC CT01,Gas,12,2005,New York,Zone J (NYC),184.4,151.3,184.4,1.313564,20.652765,21.966329,10.812048
500MW CC CC CT02,Gas,12,2005,New York,Zone J (NYC),184.4,151.3,184.4,1.313564,20.652765,21.966329,10.812048
59th Street CT GT1,Gas,6,1969,New York,Zone J (NYC),21.6,15.5,21.6,111.234542,42.0969,153.331442,8.773267
A B Brown CT 4,Gas,6,1991,MISO,Z6,87,80,87,6.469368,33.660451,40.129819,5.362555
A B Brown CT 5,Gas,5,2002,MISO,Z6,87,80,87,6.469368,34.284466,40.753834,5.362555
A B Brown ST 1,Coal,3,1979,MISO,Z6,245,245,245,8.741357,25.806404,34.547761,38.346878
A B Brown ST 2,Coal,2,1986,MISO,Z6,245,245,245,8.741357,24.892027,33.633384,38.346878
A.J. Mihm Generating Station IC M1,Gas,3,2019,MISO,Z2,18.3,18.3,18.3,15.141072,28.734006,43.875078,10.395876
A.J. Mihm Generating Station IC M2,Gas,3,2019,MISO,Z2,18.3,18.3,18.3,15.141072,28.734006,43.875078,10.395876
A.J. Mihm Generating Station IC M3,Gas,3,2019,MISO,Z2,18.3,18.3,18.3,15.141072,28.734006,43.875078,10.395876
A.L. Pierce CT 4,Gas,10,2007,New England,Connecticut,94.6,74.1,94.6,34.53763,42.707535,77.245165,3.863129
Aberdeen CT 2,Gas,4,2013,SPP,SPP,60,52,60,1.479982,25.965213,27.445195,11.618664
Aberdeen CT GT1,Gas,5,1978,SPP,SPP,28,20.5,28,1.479982,144.902813,146.382795,11.618664
Acadia Power Partners CC CT11,Gas,7,2002,MISO,Z9,204.7,164.7,204.7,0.929794,18.811511,19.741305,21.275435
Acadia Power Partners CC CT12,Gas,7,2002,MISO,Z9,204.7,169,204.7,0.929794,18.811511,19.741305,21.275435
Acadia Power Partners CC CT24,Gas,8,2002,MISO,Z9,168.2,146.2,168.2,0.929794,18.811511,19.741305,21.275435
Acadia Power Partners CC CT25,Gas,8,2002,MISO,Z9,173.8,145.6,173.8,0.929794,18.811511,19.741305,21.275435
Acadia Power Partners CC ST13,Gas,7,2002,MISO,Z9,221.3,221.3,211.8,0.929794,18.811511,19.741305,21.275435
Acadia Power Partners CC ST26,Gas,8,2002,MISO,Z9,241.4,241.1,241.4,0.929794,18.811511,19.741305,21.275435
ACS Crookston ST G1,Coal,9,1954,MISO,Z1,3.5,3.5,3.5,2.757107,8.776802,11.533909,29.241608
ACS Crookston ST G2,Coal,9,1975,MISO,Z1,3,3,3,2.757107,8.776802,11.533909,29.241608
ACS Drayton ST G1,Coal,9,1965,MISO,Z1,6,6,6,2.757107,8.774678,11.531785,29.241608
ACS East Grand Forks ST G1,Coal,9,1990,MISO,Z1,2.5,2.5,2.5,2.757107,8.773881,11.530988,29.241608
ACS East Grand Forks ST G2,Coal,9,1990,MISO,Z1,5,5,5,2.757107,8.773881,11.530988,29.241608
ACS Hillsboro ST G1,Coal,9,1990,MISO,Z1,13.3,13.3,13.3,2.757107,8.864566,11.621673,29.241608
ACS Moorhead ST G1,Coal,9,1948,SPP,SPP,3,3,3,2.757107,8.776483,11.53359,29.241608
ACS Moorhead ST G2,Coal,9,1961,SPP,SPP,2,2,2,2.757107,8.77766,11.534767,29.241608
Adobe Fuel Cell FC ADB00,Gas,8,2010,CAISO,NP-15,0.8,0.8,0.8,46.035764,32.95685,78.992614,0
Adobe Fuel Cell FC ADB01,Gas,8,2010,CAISO,NP-15,0.4,0.4,0.4,46.035764,32.95685,78.992614,0
AE Hunlock 4 CT 4,Gas,12,2000,PJM,PL,45.9,45.9,45.8,12.213763,31.824438,44.038201,5.533745
Agua Mansa CT AMP1,Gas,6,2003,CAISO,SP-15,43,40,43,8.794363,39.417214,48.211577,5.271417
Alameda CT 1,Gas,5,1986,CAISO,NP-15,24,21.8,24,9.832763,56.388437,66.2212,7.196076
Alameda CT 2,Gas,5,1986,CAISO,NP-15,24,21.8,24,9.832763,56.388437,66.2212,7.196076
Alamitos ST 3,Gas,12,1961,CAISO,SP-15,332,332,332,8.480093,41.834257,50.31435,11.256662
Alamitos ST 4,Gas,6,1962,CAISO,SP-15,335,335,335,8.480093,41.897532,50.377625,11.256662
Alamitos ST 5,Gas,3,1964,CAISO,SP-15,485,485,485,8.480093,40.885853,49.365946,11.256662
Allegheny Energy Units 1 and 2 CT UNT1,Gas,12,1999,PJM,DLCO,44,44,44,1.704157,24.427425,26.131582,4.466453
Allegheny Energy Units 1 and 2 CT UNT2,Gas,12,1999,PJM,DLCO,44,44,44,1.704157,24.355604,26.059761,4.466453
Allegheny Energy Units 12 & 13 CT UN12,Gas,11,2001,PJM,APS,44,44,44,1.53714,23.836188,25.373328,4.328824
Allegheny Energy Units 12 & 13 CT UN13,Gas,11,2001,PJM,APS,44,44,44,1.53714,24.225586,25.762726,4.328824
"Allegheny Energy Units 3, 4, 5 CC UNT3",Gas,7,2003,PJM,DLCO,184,167,184,0.814141,16.568228,17.382369,11.087891
"Allegheny Energy Units 3, 4, 5 CC UNT4",Gas,7,2003,PJM,DLCO,184,167,184,0.814141,16.568228,17.382369,11.087891
"Allegheny Energy Units 3, 4, 5 CC UNT5",Gas,7,2003,PJM,DLCO,182,175,182,0.814141,16.568228,17.382369,11.087891
"Allegheny Energy Units 8, 9 CT UNT8",Gas,11,2000,PJM,APS,44,44,44,1.53714,24.792739,26.329879,4.397639
"Allegheny Energy Units 8, 9 CT UNT9",Gas,11,2000,PJM,APS,44,44,44,1.53714,24.527208,26.064348,4.397639
Allen S King ST 1,Coal,3,1968,MISO,Z1,511,511,511,3.976124,19.214134,23.190258,40.255406
Alpaca IC 1,Gas,4,2017,PJM,PENLC,6.8,6.8,6.8,11.830386,20.619434,32.44982,18.976263
Alpaca IC 2,Gas,4,2017,PJM,PENLC,6.8,6.8,6.8,11.830386,20.619434,32.44982,18.976263
Alpaca IC 3,Gas,4,2017,PJM,PENLC,6.8,6.8,6.8,11.830386,20.619434,32.44982,18.976263
Alpine CT AI1,Gas,6,2016,MISO,Z7,220,202.6,220,3.291432,29.235496,32.526928,2.208677
Alpine CT AI2,Gas,6,2016,MISO,Z7,220,202.6,220,3.291432,30.093251,33.384683,2.208677
Alsey CT 1,Gas,6,1999,MISO,Z4,34.7,30,34.7,11.258867,29.667872,40.926739,3.795364
Alsey CT 2,Gas,8,1999,MISO,Z4,34.7,30,34.7,11.258867,29.667872,40.926739,3.795364
Alsey CT 3,Gas,7,1999,MISO,Z4,20.3,18,20.3,11.258867,29.667872,40.926739,3.795364
Alsey CT 4,Gas,8,1999,MISO,Z4,19.4,18,19.4,11.258867,29.667872,40.926739,3.795364
Alsey CT 5,Gas,6,1999,MISO,Z4,26.7,25,26.7,11.258867,29.667872,40.926739,3.795364
Alsey CT 6,Gas,12,2016,MISO,Z4,45,42,45,11.258867,29.667872,40.926739,3.795364
Amazon San Bernardino FC AMZ00,Gas,11,2014,CAISO,SP-15,1,1,1,46.035764,24.692235,70.727999,0
AMP Fremont Energy Center CC CA01,Gas,1,2012,PJM,ATSI,17.81,17.81,17.7,1.283685,33.920641,35.204326,9.711696
AMP Fremont Energy Center CC CA01,Gas,1,2012,PJM,ATSI,327.29,327.29,325.4,1.283685,33.920641,35.204326,9.711696
AMP Fremont Energy Center CC CT01,Gas,1,2012,PJM,ATSI,9.45,8.39,9.45,1.283685,33.920641,35.204326,9.711696
AMP Fremont Energy Center CC CT01,Gas,1,2012,PJM,ATSI,173.65,154.21,173.65,1.283685,33.920641,35.204326,9.711696
AMP Fremont Energy Center CC CT02,Gas,1,2012,PJM,ATSI,9.3,8.39,9.3,1.283685,33.920641,35.204326,9.711696
AMP Fremont Energy Center CC CT02,Gas,1,2012,PJM,ATSI,170.9,154.21,170.9,1.283685,33.920641,35.204326,9.711696
Anadarko (OK) CC 4,Gas,12,1977,SPP,SPP,94,94,94,3.074742,21.40366,24.478402,19.732954
Anadarko (OK) CC 5,Gas,11,1977,SPP,SPP,94,94,94,3.074742,21.40366,24.478402,19.732954
Anadarko (OK) CC 6,Gas,12,1977,SPP,SPP,94,94,94,3.074742,21.40366,24.478402,19.732954
Anadarko (OK) CT 10,Gas,6,2009,SPP,SPP,45,45,45,1.53714,26.608755,28.145895,3.562695
Anadarko (OK) CT 11,Gas,6,2009,SPP,SPP,45,45,45,1.53714,26.136649,27.673789,3.562695
Anadarko (OK) CT 9,Gas,6,2009,SPP,SPP,45,45,45,1.53714,26.928622,28.465762,3.562695
Anadarko (OK) ST 1,Gas,8,1953,SPP,SPP,12,12,12,41.103521,62.356284,103.459805,26.183304
Anadarko (OK) ST 2,Gas,8,1953,SPP,SPP,12,12,12,41.103521,62.356284,103.459805,26.183304
Anadarko (OK) ST 3,Gas,8,1959,SPP,SPP,44,44,44,41.103521,62.356284,103.459805,26.183304
Anadarko CT CT GEN1,Gas,5,2001,SPP,SPP,45,45,45,1.53714,26.578489,28.115629,4.302828
Anadarko CT CT GEN2,Gas,5,2001,SPP,SPP,45,45,45,1.53714,27.273621,28.810761,4.302828
Anderson ACT1,Gas,6,1992,PJM,AEP,42,34,42,32.442344,20.31907,52.761414,4.063851
Anderson ACT2,Gas,6,1992,PJM,AEP,42,34,42,32.442344,19.990579,52.432923,4.063851
Anderson ACT3,Gas,6,2004,PJM,AEP,90,72,90,32.442344,39.815637,72.257981,4.063851
Angus Anson CT 1,Gas,8,1994,MISO,Z1,109,90,109,4.696656,34.169193,38.865849,1.960058
Angus Anson CT 2,Gas,8,1994,MISO,Z1,109,90,109,4.696656,32.253786,36.950442,1.960058
Angus Anson CT 4,Gas,6,2005,MISO,Z1,168,147,168,4.696656,30.184066,34.880722,1.960058
ANP Blackstone CC U1,Gas,6,2001,New England,SEMA,279.7,247.8,279.7,1.421085,28.383643,29.804728,11.319609
ANP Blackstone CC U2,Gas,7,2001,New England,SEMA,278.8,248.7,278.8,1.421085,28.383643,29.804728,11.319609
Ansley IC 2,Gas,10,1976,SPP,SPP,0.8,0.8,0.8,267.664331,22.170187,289.834518,0.662719
Ansley IC 3,Gas,6,1969,SPP,SPP,0.5,0.5,0.5,267.664331,122.843482,390.507813,0.662719
Antelope Station IC E01,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E02,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E03,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E04,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E05,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E06,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E07,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E08,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E09,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E10,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E11,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E12,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E13,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E14,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E15,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E16,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E17,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Station IC E18,Gas,6,2011,SPP,SPP,9.3,9.1,9.3,7.173217,12.334526,19.507743,35.223797
Antelope Valley (ND) ST 1,Coal,7,1984,SPP,SPP,450,450,450,2.534254,33.83959,36.373844,28.301418
Antelope Valley (ND) ST 2,Coal,7,1986,SPP,SPP,450,450,450,2.534254,33.83959,36.373844,28.301418
Antelope-Elk Energy CT ELK1,Gas,6,2015,ERCOT,West,202,195,202,1.997877,14.709972,16.707849,0.65105
Antelope-Elk Energy CT ELK2,Gas,6,2016,ERCOT,West,202,195,202,1.997877,14.677448,16.675325,0.65105
Antelope-Elk Energy CT ELK3,Gas,6,2016,ERCOT,West,202,195,202,1.997877,14.654591,16.652468,0.65105
Anthony IC1,Gas,8,1972,SPP,SPP,4.1,4.1,4.1,200.798282,33.516346,234.314628,12.242513
Anthony IC2,Gas,6,1976,SPP,SPP,3,3,3,200.798282,33.516345,234.314627,12.242513
Anthony IC3,Gas,7,1981,SPP,SPP,4,4,4,200.798282,33.516346,234.314628,12.242513
APP Prune Project FC AP11A,Gas,5,2017,CAISO,NP-15,1,1,1,46.035764,30.07199,76.107754,0
APP Prune Project FC AP11B,Gas,6,2017,CAISO,NP-15,1,1,1,46.035764,30.07199,76.107754,0
APP Prune Project FC AP11C,Gas,6,2017,CAISO,NP-15,1,1,1,46.035764,30.07199,76.107754,0
APP Prune Project FC AP11D,Gas,6,2017,CAISO,NP-15,1,1,1,46.035764,30.07199,76.107754,0
Archbald Power Station CT Gen2,Gas,5,2001,PJM,PL,50,43.7,50,2.059824,30.220385,32.280209,4.897935
Archbald Power Station CT GEN5,Gas,2,2010,PJM,PL,4.6,4,4.6,2.059824,19.773266,21.83309,4.897935
Archbald Power Station CT GEN6,Gas,2,2010,PJM,PL,4.6,4,4.6,2.059824,19.773266,21.83309,4.897935
Archer Daniels Midland ST GEN1,Coal,5,2010,SPP,SPP,61,61,61,3.546211,27.209536,30.755747,26.275101
Argus Cogen Plant ST TG5,Coal,12,1947,CAISO,SP-15,7,7,7,9.84949,33.83959,43.68908,14.372759
Argus Cogen Plant ST TG8,Coal,7,1978,CAISO,SP-15,25,25,25,9.84949,13.46539,23.31488,14.372759
Argus Cogen Plant ST TG9,Coal,7,1978,CAISO,SP-15,25,25,25,9.84949,13.484024,23.333514,14.372759
Armstrong County CT 1,Gas,5,2002,PJM,PENLC,208.9,168.4,208.9,2.496358,24.991497,27.487855,3.275764
Armstrong County CT 2,Gas,5,2002,PJM,PENLC,202.9,163.6,202.9,2.496358,25.384415,27.880773,3.275764
Armstrong County CT 3,Gas,5,2002,PJM,PENLC,209.6,169,209.6,2.496358,25.257285,27.753643,3.275764
Armstrong County CT 4,Gas,5,2002,PJM,PENLC,208.3,169.7,208.3,2.496358,25.241711,27.738069,3.275764
Arsenal Hill ST 5,Gas,3,1960,SPP,SPP,116,116,116,1.421483,32.528659,33.950142,0.898459
Arthur Kill CT GT1,Gas,1,1970,New York,Zone J (NYC),15,12,15,66.247312,47.076549,113.323861,14.967474
Arthur Kill ST 2,Gas,9,1959,New York,Zone J (NYC),340,338,340,4.778276,31.829185,36.607461,12.518626
Arthur Kill ST 3,Gas,6,1969,New York,Zone J (NYC),519,508,519,4.778276,31.238393,36.016669,12.518626
Arthur Von Rosenberg CC 1,Gas,6,2000,ERCOT,South,157,157,157,0.944479,18.513143,19.457622,11.847913
Arthur Von Rosenberg CC 2,Gas,6,2000,ERCOT,South,157,157,157,0.944479,18.513143,19.457622,11.847913
Arthur Von Rosenberg CC 3,Gas,6,2000,ERCOT,South,164,164,164,0.944479,18.513143,19.457622,11.847913
Astoria Energy Facility CC CT1,Gas,5,2006,New York,Zone J (NYC),1.7,1.56,1.7,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT1,Gas,5,2006,New York,Zone J (NYC),39.87,36.58,39.87,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT1,Gas,5,2006,New York,Zone J (NYC),52.7,48.36,52.7,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT1,Gas,5,2006,New York,Zone J (NYC),75.65,69.42,75.65,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT1,Gas,5,2006,New York,Zone J (NYC),0.09,0.08,0.09,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT2,Gas,5,2006,New York,Zone J (NYC),1.7,1.56,1.7,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT2,Gas,5,2006,New York,Zone J (NYC),39.87,36.58,39.87,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT2,Gas,5,2006,New York,Zone J (NYC),52.7,48.36,52.7,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT2,Gas,5,2006,New York,Zone J (NYC),75.65,69.42,75.65,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC CT2,Gas,5,2006,New York,Zone J (NYC),0.09,0.08,0.09,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC ST1,Gas,5,2006,New York,Zone J (NYC),2.66,2.28,2.66,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC ST1,Gas,5,2006,New York,Zone J (NYC),62.38,53.47,62.38,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC ST1,Gas,5,2006,New York,Zone J (NYC),82.46,70.68,82.46,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC ST1,Gas,5,2006,New York,Zone J (NYC),118.37,101.46,118.37,0.86842,19.552362,20.420782,10.541104
Astoria Energy Facility CC ST1,Gas,5,2006,New York,Zone J (NYC),0.13,0.11,0.13,0.86842,19.552362,20.420782,10.541104
Astoria Energy II CC CT3,Gas,7,2011,New York,Zone J (NYC),98.42,81.67,98.42,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT3,Gas,7,2011,New York,Zone J (NYC),0.94,0.78,0.94,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT3,Gas,7,2011,New York,Zone J (NYC),5.92,4.91,5.92,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT3,Gas,7,2011,New York,Zone J (NYC),56.4,46.8,56.4,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT3,Gas,7,2011,New York,Zone J (NYC),26.32,21.84,26.32,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT4,Gas,7,2011,New York,Zone J (NYC),98.42,81.67,98.42,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT4,Gas,7,2011,New York,Zone J (NYC),5.92,4.91,5.92,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT4,Gas,7,2011,New York,Zone J (NYC),0.94,0.78,0.94,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT4,Gas,7,2011,New York,Zone J (NYC),56.4,46.8,56.4,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC CT4,Gas,7,2011,New York,Zone J (NYC),26.32,21.84,26.32,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC ST2,Gas,7,2011,New York,Zone J (NYC),1.18,1.14,1.18,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC ST2,Gas,7,2011,New York,Zone J (NYC),123.55,119.36,123.55,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC ST2,Gas,7,2011,New York,Zone J (NYC),7.43,7.18,7.43,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC ST2,Gas,7,2011,New York,Zone J (NYC),70.8,68.4,70.8,0.979707,20.171331,21.151038,9.928933
Astoria Energy II CC ST2,Gas,7,2011,New York,Zone J (NYC),33.04,31.92,33.04,0.979707,20.171331,21.151038,9.928933
Astoria Gas Turbines CT 2-1,Gas,1,1970,New York,Zone J (NYC),45.1,36.3,45.1,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 2-2,Gas,1,1970,New York,Zone J (NYC),44.9,34.8,44.9,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 2-3,Gas,1,1970,New York,Zone J (NYC),46.1,35.9,46.1,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 2-4,Gas,1,1970,New York,Zone J (NYC),47.4,35.8,47.4,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 3-1,Gas,1,1970,New York,Zone J (NYC),45.2,34.1,45.2,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 3-2,Gas,1,1970,New York,Zone J (NYC),44.8,35.8,44.8,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 3-3,Gas,1,1970,New York,Zone J (NYC),45.4,35.3,45.4,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 3-4,Gas,1,1970,New York,Zone J (NYC),46.2,36.8,46.2,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 4-1,Gas,1,1970,New York,Zone J (NYC),45.6,35.2,45.6,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 4-2,Gas,1,1970,New York,Zone J (NYC),45.5,34.7,45.5,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 4-3,Gas,1,1970,New York,Zone J (NYC),44.9,34.9,44.9,20.257101,40.134173,60.391274,3.441764
Astoria Gas Turbines CT 4-4,Gas,1,1970,New York,Zone J (NYC),44.5,33.1,44.5,20.257101,40.134173,60.391274,3.441764
Astoria Generating Station CT 1,Gas,3,1967,New York,Zone J (NYC),18.9,14,18.9,81.112086,52.359404,133.47149,14.967474
Astoria Generating Station ST 2,Gas,3,1954,New York,Zone J (NYC),172.8,172.8,170.6,5.760524,33.402753,39.163277,11.836072
Astoria Generating Station ST 3,Gas,12,1958,New York,Zone J (NYC),376.8,376.8,374.6,5.760524,32.422608,38.183132,11.836072
Astoria Generating Station ST 4,Gas,12,1961,New York,Zone J (NYC),387,380,387,5.760524,32.202484,37.963008,11.836072
Astoria Generating Station ST5,Gas,12,1962,New York,Zone J (NYC),387.7,378.4,387.7,5.760524,32.085918,37.846442,11.836072
AT&T Anaheim FC AT058,Gas,9,2016,CAISO,SP-15,1.3,1.3,1.3,46.035764,23.306154,69.341918,0
AT&T Holger Plant FC AT057,Gas,6,2016,CAISO,NP-15,1.3,1.3,1.3,46.035764,25.468182,71.503946,0
AT&T Jericho FC ATT49,Gas,3,2017,New York,Zone K (Long Island),1,1,1,46.035764,21.677773,67.713537,0
AT&T Kelvin FC ATT56,Gas,4,2017,CAISO,SP-15,1,1,1,46.035764,27.610492,73.646256,0
Athens Generating Plant CC CT1,Gas,4,2004,New York,Zone F (Capital),267.5,224.1,267.5,1.402919,23.806228,25.209147,10.015054
Athens Generating Plant CC CT2,Gas,5,2004,New York,Zone F (Capital),270.1,222.6,270.1,1.402919,23.806228,25.209147,10.015054
Athens Generating Plant CC CT3,Gas,4,2003,New York,Zone F (Capital),267.4,222.7,267.4,1.402919,23.806228,25.209147,10.015054
Athens Generating Plant CC ST1,Gas,1,2004,New York,Zone F (Capital),127.6,106.9,127.6,1.402919,23.806228,25.209147,10.015054
Athens Generating Plant CC ST2,Gas,1,2004,New York,Zone F (Capital),128.9,106.2,128.9,1.402919,23.806228,25.209147,10.015054
Athens Generating Plant CC ST3,Gas,1,2004,New York,Zone F (Capital),127.6,106.3,127.6,1.402919,23.806228,25.209147,10.015054
Atlantic CT 6,Gas,7,1999,SPP,SPP,10,9.8,10,227.019821,34.827841,261.847662,14.664691
Attala Generating Plant CC A01,Gas,3,2001,MISO,Z10,157.6,145.14,157.6,2.472769,18.783628,21.256397,20.912408
Attala Generating Plant CC A02,Gas,3,2001,MISO,Z10,157.6,145.14,157.6,2.472769,18.783628,21.256397,20.912408
Attala Generating Plant CC A03,Gas,3,2001,MISO,Z10,176.79,162.81,176.79,2.472769,18.783628,21.256397,20.912408
Auburn IC 1,Gas,4,1982,SPP,SPP,2.4,2.2,2.4,179.903403,27.36529,207.268693,12.989541
Auburn IC 2,Gas,6,1949,SPP,SPP,1,0.9,1,179.903403,27.365291,207.268694,12.989541
Auburn IC 4A,Gas,6,1993,SPP,SPP,3.7,3.7,3.7,179.903403,27.36529,207.268693,12.989541
Auburn IC 5,Gas,7,1973,SPP,SPP,3.3,3,3.3,179.903403,27.36529,207.268693,12.989541
Auburn IC 6,Gas,5,1967,SPP,SPP,2.7,2.5,2.7,179.903403,27.36529,207.268693,12.989541
Auburn IC 7,Gas,7,1987,SPP,SPP,5.6,5.2,5.6,179.903403,27.36529,207.268693,12.989541
Auburn State CT 1,Gas,8,2000,New York,Zone C (Central),5.87,4.32,5.87,271.635197,37.26427,308.899467,14.967474
Auburn State CT 1,Gas,8,2000,New York,Zone C (Central),1.33,0.98,1.33,271.635197,37.26427,308.899467,14.967474
Audrain Generating Station CT GT1,Gas,2,2001,MISO,Z5,92,75,92,2.903185,29.236381,32.139566,0.856343
Audrain Generating Station CT GT2,Gas,2,2001,MISO,Z5,92,75,92,2.903185,29.228009,32.131194,0.856343
Audrain Generating Station CT GT3,Gas,2,2001,MISO,Z5,92,75,92,2.903185,29.34441,32.247595,0.856343
Audrain Generating Station CT GT4,Gas,2,2001,MISO,Z5,92,75,92,2.903185,29.040066,31.943251,0.856343
Audrain Generating Station CT GT5,Gas,3,2001,MISO,Z5,92,75,92,2.903185,29.062911,31.966096,0.856343
Audrain Generating Station CT GT6,Gas,4,2001,MISO,Z5,92,75,92,2.903185,28.95392,31.857105,0.856343
Audrain Generating Station CT GT7,Gas,4,2001,MISO,Z5,92,75,92,2.903185,29.412842,32.316027,0.856343
Audrain Generating Station CT GT8,Gas,4,2001,MISO,Z5,92,75,92,2.903185,29.344474,32.247659,0.856343
Augusta Plant No 1 IC 1,Gas,7,1954,SPP,SPP,1.1,1.1,1.1,15.141072,23.665739,38.806811,10.395876
Augusta Plant No 1 IC 2,Gas,8,1929,SPP,SPP,0.3,0.3,0.3,20.917832,155.678144,176.595976,10.67096
Augusta Plant No 1 IC 3,Gas,12,1949,SPP,SPP,1,1,1,15.141072,23.665739,38.806811,10.395876
Augusta Plant No 1 IC 4,Gas,8,1939,SPP,SPP,0.7,0.7,0.7,20.917832,155.678144,176.595976,10.67096
Augusta Plant No 1 IC 5,Gas,6,1956,SPP,SPP,2.2,2.2,2.2,15.141072,23.665739,38.806811,10.395876
Augusta Plant No 1 IC 6,Gas,7,1956,SPP,SPP,2.2,2.2,2.2,15.141072,23.665739,38.806811,10.395876
Augusta Plant No 1 IC 7,Gas,4,1964,SPP,SPP,2,2,2,15.141072,23.665739,38.806811,10.395876
