Unit Name ,Fuel Type ,Month Unit in Service ,Year Unit in Service ,Dispatching ISO ,Dispatching ISO Zonal Location,Operating Capacity (Owner - GSC) (MW),Summer Capacity (Owner - GSC) (MW),Winter Capacity (Owner - GSC) (MW),Non-Fuel Variable O&M Costs per MWh (Owner) ($/MWh),Fuel Costs per MWh (Owner) ($/MWh),Variable Costs ($/MWh),Fixed O&M Costs per kW-Year (Owner) ($/kW-year)
Elwood Energy CT GT7,Gas,8,2001,PJM,COMED,48,37.5,48,6.082268,33.775108,39.857376,3.22557
Elwood Energy CT GT8,Gas,8,2001,PJM,COMED,144,112.5,144,6.082268,32.189164,38.271432,3.22557
Elwood Energy CT GT8,Gas,8,2001,PJM,COMED,48,37.5,48,6.082268,32.189164,38.271432,3.22557
Elwood Energy CT GT9,Gas,7,2001,PJM,COMED,144,112.5,144,6.082268,31.963392,38.04566,3.22557
Elwood Energy CT GT9,Gas,7,2001,PJM,COMED,48,37.5,48,6.082268,31.963392,38.04566,3.22557
Emerson IC 2,Gas,1,1968,SPP,SPP,1.1,1.1,1.1,634.44791,48.641539,683.089449,0.662719
Emerson IC 3,Gas,1,1947,SPP,SPP,0.1,0.1,0.1,634.44791,264.266285,898.714195,0.662719
Emerson IC 4,Gas,1,1960,SPP,SPP,0.4,0.4,0.4,634.44791,48.641539,683.089449,0.662719
Emery Generating Station CC 11,Gas,5,2004,MISO,Z3,172.3,143.4,172.3,1.262799,17.762138,19.024937,3.337089
Emery Generating Station CC 12,Gas,5,2004,MISO,Z3,173.5,144.4,173.5,1.262799,17.762138,19.024937,3.337089
Emery Generating Station CC ST1,Gas,5,2004,MISO,Z3,236.6,231,236.6,1.262799,17.762138,19.024937,3.337089
Empire Energy Center CT 1,Gas,3,1978,SPP,SPP,86,82,86,5.771395,31.390718,37.162113,10.888849
Empire Energy Center CT 2,Gas,6,1981,SPP,SPP,92,82,92,5.771395,32.547205,38.3186,10.888849
Empire Energy Center CT 3,Gas,4,2003,SPP,SPP,62,49,62,5.771395,24.805228,30.576623,10.888849
Empire Energy Center CT 4,Gas,4,2003,SPP,SPP,62,49,62,5.771395,24.854101,30.625496,10.888849
Emporia CT 1,Gas,6,2008,SPP,SPP,48,45,48,1.287945,28.826091,30.114036,2.336059
Emporia CT 2,Gas,6,2008,SPP,SPP,48,44,48,1.287945,27.631921,28.919866,2.336059
Emporia CT 3,Gas,6,2008,SPP,SPP,47,43,47,1.287945,28.240515,29.52846,2.336059
Emporia CT 4,Gas,6,2008,SPP,SPP,46,44,46,1.287945,27.498373,28.786318,2.336059
Emporia CT 5,Gas,6,2008,SPP,SPP,170,158,170,1.287945,27.794873,29.082818,2.336059
Emporia CT 6,Gas,2,2009,SPP,SPP,170,155,170,1.287945,28.114979,29.402924,2.336059
Emporia CT 7,Gas,2,2009,SPP,SPP,170,157,170,1.287945,27.379478,28.667423,2.336059
Ennis-Tractebel Power Project CC GT1,Gas,5,2002,ERCOT,North,267.9,245.1,267.9,1.472898,17.730205,19.203103,12.07231
Ennis-Tractebel Power Project CC ST1,Gas,5,2002,ERCOT,North,125,114.4,125,1.472898,17.730205,19.203103,12.07231
Equinix Caspian Dr. Fuel Cell FC EQX1A,Gas,12,2017,CAISO,NP-15,2,2,2,46.035764,30.07199,76.107754,0
Equinix Caspian Dr. Fuel Cell FC EQX1B,Gas,12,2017,CAISO,NP-15,2.8,2.8,2.8,46.035764,30.07199,76.107754,0
Equinix Great Oaks Fuel Cell FC EQ14A,Gas,12,2017,CAISO,NP-15,2.4,2.4,2.4,46.035764,30.07199,76.107754,0
Equinix Great Oaks Fuel Cell FC EQ14B,Gas,12,2017,CAISO,NP-15,2.1,2.1,2.1,46.035764,30.07199,76.107754,0
