feature,march 2020 value,march 2020 counterfactual,march 2020 fraction deviation,march 2020 95% CI (+/- %),march 2020 95% CI low,march 2020 95% CI high,april 2020 value,april 2020 counterfactual,april 2020 fraction deviation,april 2020 95% CI (+/- %),april 2020 95% CI low,april 2020 95% CI high,may 2020 value,may 2020 counterfactual,may 2020 fraction deviation,may 2020 95% CI (+/- %),may 2020 95% CI low,may 2020 95% CI high,june 2020 value,june 2020 counterfactual,june 2020 fraction deviation,june 2020 95% CI (+/- %),june 2020 95% CI low,june 2020 95% CI high,july 2020 value,july 2020 counterfactual,july 2020 fraction deviation,july 2020 95% CI (+/- %),july 2020 95% CI low,july 2020 95% CI high,august 2020 value,august 2020 counterfactual,august 2020 fraction deviation,august 2020 95% CI (+/- %),august 2020 95% CI low,august 2020 95% CI high,september 2020 value,september 2020 counterfactual,september 2020 fraction deviation,september 2020 95% CI (+/- %),september 2020 95% CI low,september 2020 95% CI high,october 2020 value,october 2020 counterfactual,october 2020 fraction deviation,october 2020 95% CI (+/- %),october 2020 95% CI low,october 2020 95% CI high,november 2020 value,november 2020 counterfactual,november 2020 fraction deviation,november 2020 95% CI (+/- %),november 2020 95% CI low,november 2020 95% CI high,december 2020 value,december 2020 counterfactual,december 2020 fraction deviation,december 2020 95% CI (+/- %),december 2020 95% CI low,december 2020 95% CI high
c,1249.0659622784108,1321.5860992354287,-0.054873562153061904,0.10044398450771189,1188.8407255582179,1454.3314729126396,1085.8611621125428,1263.2791166375753,-0.14044240278210204,0.10524735191521854,1130.322334881674,1396.2358983934766,1170.049876373345,1355.7933266010905,-0.1369998262887129,0.09913172748630794,1221.3911920207163,1490.1954611814647,1583.4382399442118,1707.5359402111371,-0.07267647921459308,0.07853175175420117,1573.4401516430996,1841.6317287791746,2031.54907628529,2162.5972176570212,-0.060597572355017636,0.06231811498333867,2027.8282355844226,2297.36619972962,1988.0477530802928,2081.6376793877507,-0.04495975799928091,0.06429385803339643,1947.8011619522258,2215.4741968232756,1608.325709186596,1624.0712286585324,-0.009695091689384865,0.08245332898711169,1490.1611493434477,1757.981307973617,1392.72552654917,1455.9292970965832,-0.04341129110696131,0.09120107509693694,1323.1469799362471,1588.7116142569193,1337.2420621278923,1333.5533657400108,0.00276606582282108,0.10397237291447518,1194.900657895937,1472.2060735840846,1573.314391985426,1504.0885189751998,0.04602513225577494,0.08936567985172796,1369.6746259198026,1638.502412030597
e,3608.0569096242866,3730.141920498832,-0.03272932062011702,0.025104151769752246,3636.499871603914,3823.78396939375,3348.3931182395972,3670.8175124432237,-0.0878344927555462,0.025150448793201892,3578.494804567332,3763.1402203191155,3570.8417582498005,3787.0672893366564,-0.05709577215479844,0.02456095678267907,3694.0532933101613,3880.0812853631514,4279.387553733774,4385.137902654907,-0.0241156267530623,0.021089870539669306,4292.655911989317,4477.619893320496,4863.931766906068,4948.375596668603,-0.017064959624201705,0.018904347888888524,4854.829782904293,5041.921410432913,4691.38646367832,4822.056838450309,-0.027098472529407933,0.019282486430006306,4729.0755928981725,4915.038084002446,4054.9593862621973,4112.371223348059,-0.013960762287194589,0.023142546217617785,4017.200482247725,4207.541964448393,3683.0883382311426,3828.1891263203543,-0.03790324440649622,0.024098730050209915,3735.9346299840113,3920.4436226566972,3670.559754594987,3691.904376258273,-0.0057814665516657425,0.025796623233233763,3596.6657100508114,3787.143042465734,4049.4421461645684,3986.553809721223,0.01577511290327803,0.02333043562755522,3893.545772687737,4079.5618467547088
c_over_e,346.1879880404875,356.0455670625254,-0.027686284942024852,0.06972386575689778,331.22069374131934,380.8704403837314,324.29321282425445,354.91209183414156,-0.08627172675817425,0.07122101202642103,329.63489347329994,380.1892901949832,327.66780372447215,361.6448299419872,-0.09395136721010347,0.07102836810144934,335.9577878388817,387.3318720450927,370.0151528838884,391.5392105220034,-0.05497293006597967,0.06399159767054315,366.48399089003726,416.5944301539695,417.6763107796539,429.6388295503977,-0.027843197467189343,0.05948633707472635,404.08118931537183,455.1964697854236,423.76550481870714,426.35318392804066,-0.006069332203627372,0.059590730580629976,400.946486212391,451.75988164369033,396.6317676658969,392.97765786848237,0.009298517929071347,0.06421291630018705,367.74341641592997,418.21189932103476,378.1406794109225,380.62623984147956,-0.00653018675641557,0.06672066041166198,355.2306057492484,406.0218739337107,364.31556806938414,369.0036401544485,-0.012704677067960945,0.07092123552758059,342.8334460805202,395.17383422837673,388.5262056344209,377.8999241748928,0.02811930032198206,0.06632636432356948,352.8351961262196,402.964652223566
c(Coal),595838033861.0347,722933672533.5327,-0.17580539335937878,0.23401512984924266,553756255283.2083,892111089783.8572,498560335722.2475,700740108594.7549,-0.28852319196906423,0.24917713234717942,526131697814.46277,875348519375.047,555449152634.2766,734896918257.3862,-0.24418086559489535,0.24326043761994176,556125572316.5479,913668264198.2246,807462880898.045,949392862425.5835,-0.14949552197488042,0.1821611753307955,776450342755.471,1122335382095.696,1064145528128.4846,1228257727565.0073,-0.13361381390359445,0.14169397286426885,1054221010445.0826,1402294444684.9321,1075153083778.2097,1140359504923.938,-0.05718058284617669,0.15421435686510804,964499697277.0798,1316219312570.7961,839555467175.195,816681383199.0039,0.028008577698430556,0.2132427794921796,642529975086.1305,990832791311.8773,703382584050.1718,727579269380.774,-0.03325642489951031,0.2430599201116568,550733910290.1855,904424628471.3625,742251932024.4026,691269113881.337,0.07375248961552366,0.26440260703318663,508495758009.5907,874042469753.0834,919144343067.3049,822462109670.8792,0.11755220363296087,0.20917780874853495,650421287791.2274,994502931550.5309
c(Oil),10484214615.231773,12136416874.619389,-0.1361359185710593,0.9821866511823136,216190227.18445015,24056643522.05433,9231887372.79925,9732974466.563215,-0.0514834489174308,1.2374488132435681,-2311083236.415386,21777032169.541817,9595531836.772257,7235630275.018712,0.3261501033159743,1.6737522300827692,-4875022033.848258,19346282583.88568,13651912158.01025,8871023961.687378,0.5389330720975178,1.362108231972635,-3212270802.5534954,20954318725.928253,14310369901.52153,13466052081.945583,0.06269972924788801,0.9140309282420466,1157663997.7291183,25774440166.16205,13037627837.331776,11530351871.525097,0.1307224603898679,1.0635301262550043,-732524710.1626148,23793228453.212807,7589892703.916751,5765626759.124992,0.31640375296659234,2.1131632629014345,-6418083895.8594,17949337414.109383,6681016897.7172575,6249185820.995552,0.06910197409570881,1.9428870827420361,-5892276588.271393,18390648230.262497,9972721868.06575,8614986157.101097,0.15760161260915187,1.410192868399191,-3533805883.000622,20763778197.202816,12626955180.141533,14684994734.89045,-0.1401457468594911,0.8289135914230197,2512403009.1642723,26857586460.616627
c(Gas),594412182253.3433,595433956975.4971,-0.001716016881777967,0.11310773727863536,528085769403.1343,662782144547.8599,533739315465.7795,573764388717.9897,-0.06975872682102434,0.1197397088115258,505062007886.47455,642466769549.5049,560042786860.1001,603971384288.6094,-0.07273291180881158,0.11637872110257722,533681967002.54785,674260801574.6709,718795376231.2588,720851443954.8574,-0.002852276624873338,0.09779472840123488,650355972775.6542,791346915134.0607,907545933720.7183,863667676482.6245,0.050804561097843176,0.08432843897980631,790835929527.5284,936499423437.7206,848923421254.9503,833078012444.1306,0.019020318114424315,0.08525967021644154,762050055838.5754,904105969049.6858,715404453717.6455,684583368925.0582,0.04502166747197343,0.1012685030706514,615256635926.9541,753910101923.1624,638671235457.0948,626970513221.4467,0.01866231663037634,0.11076264528203356,557525600663.2051,696415425779.6882,537179023775.64374,611039818702.3696,-0.12087722054444806,0.11419401752341186,541262726937.9688,680816910466.7704,591522974422.7324,633624992620.1777,-0.06644627135578139,0.11170983119298168,562842851654.9235,704407133585.432
